title
Family room set - moving sale - together for $225
Pottery Barn Cynthia Chiffonier Armoire
6 FT x 3 FT Farm House Dining Table
Queen Size Beautyrest Mattress
King Size Custom Fabric Headboard
Mid Century Side Table
2 End Tables
"Old Metal ""No Parking"" Sign With Free-Standing Metal Base"
Alba ergonomic chair very adjustable and like new
Herman Miller lounge chair
Pottery Barn Couch- like new
Ikea Bar Stools
Drafting Desk Chair
Leather desk chair
Pine Entertainment Center
Free Large Ivory Rose Area Rug
Danish Modern Rosewood Dining Table  (6) SL Møbler Chairs
ikea chair
Coffee Table
Signature Sleep Queen Mattress
Gorgeous Gold & Silver Beveled Mirror
Ikea Full size bed frame
Couch with pullout bed
buffet
Glass Display Case
"WALL ART--""TERRACE AT CADAQUES"""
NEW Mirrored coffee table
Glass Coffee Table (OBO)
Mirror with wood features
ATTN: ALL DESIGNERS & STAGERS! SAVE ON DESIGNER ACCENT PILLOWS!
Ikea BJURSTA Bench
Dining chairs 2
Cost plus world market  modern rustic wood desk with black metal frame
Cost plus world market  modern rustic wood desk with black metal frame
Beautiful CIRCULAR stone table
"Moving sale - bicycle trailers, ikea dressers"
Mission Style Love Seat
Glass Coffee Table (OBO)
Dining Room Table
3 piece dining set (OBO)
Glass Display Case
4'1X6'2 HANDMADE WOOL RUG
New Vintage Rose Velvet Chair for Sale
Antique Monkey Blackboard/Chalkboard
Gorgeous handame wool rug
Zero Gravity Chair
Stand-up or Sit-down computer desk
Hand knotted 100% wool rug / rugs
"Persian, Turkish wool and silk area rug carpets"
Chair Pine Spindle
"QUEEN SLEIGH BED, JEWELRY BOX, VANITY, 3 PICTURE FRAMES"
Chair Pine Spindle
Mid Century Gooseneck Floor Lamp
NEW Luxury Fabric Tufted Bed Frame
bookshelf
vintage armchair
"MODERN ""RETRO"" LAMP BY LAM LEE"
Turkish Ushak rug
Glass Coffee Table (OBO
IKEA coffee table
Accent Chairs 2 less than a year old each $169
Glass Display Case
For sale seven Ivy League Stools by KI
Designer Mirrored & Nickel Coffee Table!
Accent Chairs 2 less than a year old  each $169
Accent Chairs 2 less than a year old each $169
Williams Sonoma Occasional Chair - Excellent Condition
vintage chair
Accent Chairs 2 less than a year old  each $169
Mid Century Teak Wine Rack Nissen for Langaa
Shoe stand
Shelf Unit
2x IKEA KIVIK chaise chair/sofa with new covers
Elegant Table Lamps/ two
Solid wood bookshelf with ladder
Coffee Table / End Table
Kid Shelf Unit with Toy Box
Glass Coffee Table (OBO)
Modern Sectional in Grey Microfiber! Room & Board Copycat!
Beautiful Mid Century Ethan Allen Baumritter Solid Maple Wood Desk
Magazine Rack all wood
Matching Pottery Barn Lamps
"Hans Wegner, Teak Mid-century Modern - Coffee Table"
IKEA Balkarp sleeper sofa
Priscilla of Boston Drew Short Dress
"Sectional, 3 seat, left sofa in light grey, wood"
Mid Century Danish Teak Nine Drawer Dresser by Vinde Mobelfabrik
Round table & chairs
Solid Walnut Wood Vintage Armoire by Heirloom Furniture Est. 1889
Custom Dining Chairs - Set of 2 @ $75/each
Brand NEW Modern White/ Black Platform Bedroom Set 5PC with LED Light
3 Stackable Hand Built Custom Wood LP record Racks - Great Condition
TV Console for Sale
Herman miller aeron chair size A
"Brand new Z Gallerie Nicolette / Tufted Queen bed High Retail $1,300+"
Brand New Z Gallerie Simplicity Mirrored Night Stands / NEW $1200
White 4 Drawer Dresser in Excellent Condition
Solid oak kids/teen bed with trundle
Corner desk
Dining Table and 6 Macys Chairs
European white wash DINING SET/CHINA
Library Chair / Captains Chair -- Wharton School Crest
Twin bed and memory foam mattress
Mahogany China Cabinet & Fireplace Mantle / Hutch - $2000
4 piece dinette set in good condition
March Furniture Sale!
SCOTT BROTHERS MID CENTURY SOFA!
"Fireplace Mantle, Mahogany"
Two Suede Tub Chairs
Rugs
SIDE/CONSOLE TABLE - LIGHT WOOD GRAIN & METAL - GREAT CONDITION!
Bathroom vanity with Vessel sink
James Reed - Wall Tapestry  - La Bella
Shabby chic wood coffee table w/ anthropologie knobs
WALL ART--LIMITED EDITION--RECLINING NUDE
Area Rug Sahara - Threshold for SALE (Target)
Metal platform bed frame for QUEEN bed
Dresser
Matching Kindel Night Stands
Black chest of drawers.
price,title
$225,Family room set - moving sale - together for $225
$300,6 FT x 3 FT Farm House Dining Table
$99,Queen Size Beautyrest Mattress
$80,Mid Century Side Table
$225,King Size Custom Fabric Headboard
$400,Herman Miller lounge chair
$65,Alba ergonomic chair very adjustable and like new
$70,Ikea Bar Stools
$75,"Old Metal ""No Parking"" Sign With Free-Standing Metal Base"
$500,Pottery Barn Couch- like new
$899,Pottery Barn Cynthia Chiffonier Armoire
,Drafting Desk Chair
$15,Leather desk chair
$500,Pine Entertainment Center
$3200,Danish Modern Rosewood Dining Table  (6) SL Møbler Chairs
$60,Glass Coffee Table (OBO)
$75,Signature Sleep Queen Mattress
$95,Gorgeous Gold & Silver Beveled Mirror
,Free Large Ivory Rose Area Rug
,Ikea Full size bed frame
,Couch with pullout bed
$80,buffet
$100,Glass Display Case
$75,"WALL ART--""TERRACE AT CADAQUES"""
$1,ikea chair
$250,NEW Mirrored coffee table
$60,Glass Coffee Table (OBO)
$45,Mirror with wood features
$150,Cost plus world market  modern rustic wood desk with black metal frame
$2,ATTN: ALL DESIGNERS & STAGERS! SAVE ON DESIGNER ACCENT PILLOWS!
$30,Ikea BJURSTA Bench
$14,Dining chairs 2
$150,Cost plus world market  modern rustic wood desk with black metal frame
$30,"Moving sale - bicycle trailers, ikea dressers"
$95,Mission Style Love Seat
$100,Dining Room Table
$355,3 piece dining set (OBO)
$35,Zero Gravity Chair
$975,Beautiful CIRCULAR stone table
$25,Coffee Table
$675,"Hans Wegner, Teak Mid-century Modern - Coffee Table"
$100,Glass Display Case
$30,Mid Century Gooseneck Floor Lamp
,4'1X6'2 HANDMADE WOOL RUG
$30,New Vintage Rose Velvet Chair for Sale
$125,Antique Monkey Blackboard/Chalkboard
,Gorgeous handame wool rug
$1,Stand-up or Sit-down computer desk
,Hand knotted 100% wool rug / rugs
,"Persian, Turkish wool and silk area rug carpets"
$15,Chair Pine Spindle
$399,NEW Luxury Fabric Tufted Bed Frame
$500,"QUEEN SLEIGH BED, JEWELRY BOX, VANITY, 3 PICTURE FRAMES"
$15,Chair Pine Spindle
$20,bookshelf
$10,vintage armchair
,Turkish Ushak rug
$60,Glass Coffee Table (OBO
$50,"MODERN ""RETRO"" LAMP BY LAM LEE"
$70,IKEA coffee table
$169,Accent Chairs 2 less than a year old each $169
$50,For sale seven Ivy League Stools by KI
$169,Accent Chairs 2 less than a year old  each $169
,Designer Mirrored & Nickel Coffee Table!
$169,Accent Chairs 2 less than a year old  each $169
$169,Accent Chairs 2 less than a year old each $169
$350,Williams Sonoma Occasional Chair - Excellent Condition
$150,Mid Century Teak Wine Rack Nissen for Langaa
$15,Shoe stand
$60,Shelf Unit
$50,vintage chair
$200,2x IKEA KIVIK chaise chair/sofa with new covers
$12,Elegant Table Lamps/ two
$250,Solid wood bookshelf with ladder
$100,Glass Display Case
$50,Coffee Table / End Table
$65,Kid Shelf Unit with Toy Box
$60,Glass Coffee Table (OBO)
,Modern Sectional in Grey Microfiber! Room & Board Copycat!
$350,Beautiful Mid Century Ethan Allen Baumritter Solid Maple Wood Desk
$7,Magazine Rack all wood
$895,"Sectional, 3 seat, left sofa in light grey, wood"
$1450,Mid Century Danish Teak Nine Drawer Dresser by Vinde Mobelfabrik
$1250,Solid Walnut Wood Vintage Armoire by Heirloom Furniture Est. 1889
$70,2 End Tables
$85,IKEA Balkarp sleeper sofa
$50,Priscilla of Boston Drew Short Dress
$99,Round table & chairs
$75,Custom Dining Chairs - Set of 2 @ $75/each
$175,Matching Pottery Barn Lamps
$175,3 Stackable Hand Built Custom Wood LP record Racks - Great Condition
$75,TV Console for Sale
$400,Herman miller aeron chair size A
$850,"Brand new Z Gallerie Nicolette / Tufted Queen bed High Retail $1,300+"
$950,Brand New Z Gallerie Simplicity Mirrored Night Stands / NEW $1200
$1500,Brand NEW Modern White/ Black Platform Bedroom Set 5PC with LED Light
$150,White 4 Drawer Dresser in Excellent Condition
$80,Solid oak kids/teen bed with trundle
$70,Corner desk
$300,Dining Table and 6 Macys Chairs
$450,European white wash DINING SET/CHINA
$125,Library Chair / Captains Chair -- Wharton School Crest
$150,Twin bed and memory foam mattress
$2000,Mahogany China Cabinet & Fireplace Mantle / Hutch - $2000
$499,SCOTT BROTHERS MID CENTURY SOFA!
$150,4 piece dinette set in good condition
,March Furniture Sale!
$1000,"Fireplace Mantle, Mahogany"
$120,WALL ART--LIMITED EDITION--RECLINING NUDE
$40,Two Suede Tub Chairs
$20,Rugs
$50,SIDE/CONSOLE TABLE - LIGHT WOOD GRAIN & METAL - GREAT CONDITION!
$175,Bathroom vanity with Vessel sink
$95,James Reed - Wall Tapestry  - La Bella
$50,Shabby chic wood coffee table w/ anthropologie knobs
$35,Metal platform bed frame for QUEEN bed
$10,Dresser
$375,Matching Kindel Night Stands
$20,Black chest of drawers.
$20,Area Rug Sahara - Threshold for SALE (Target)
